*****Sonar Placement GA Expirement*****
Start Time: 2018-01-03 09:07:22.221348
Rand_seed:7
End Time: 2018-01-04 04:38:03.534168
Running Time: 19:30:37.906538
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: transient
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
1, 26, 10.3875033029, 10, 0.208, 0.084, -4, 0.205, 0.103, 31, 0.014, -0.103, -72, 0.204, -0.107, -6, 0.223, -0.133, -55, 0.208, -0.084, 4, 0.205, -0.102, -31, 0.014, 0.103, 72, 0.204, 0.107, 6, 0.223, 0.133, 55, 
1, 11, 8.24331107055, 4, 0.206, 0.07, -30, 0.096, -0.146, -45, 0.206, -0.07, 30, 0.096, 0.146, 45,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 29, 7.47013811096, 6, 0.168, -0.131, -65, 0.249, 0.117, 16, 0.232, 0.12, 65, 0.168, 0.131, 65, 0.249, -0.117, -16, 0.232, -0.12, -65,  , , ,  , , ,  , , ,  , , , 
1, 19, 10.4058297032, 10, 0.176, -0.108, -50, 0.215, -0.052, -5, 0.221, -0.074, -25, 0.223, 0.016, -25, 0.184, -0.125, -67, 0.176, 0.109, 50, 0.215, 0.052, 5, 0.221, 0.074, 25, 0.223, -0.016, 25, 0.184, 0.125, 67, 
1, 1, 11.280061089, 6, 0.018, 0.121, 48, 0.044, 0.132, 42, 0.08, -0.101, -42, 0.018, -0.121, -48, 0.044, -0.132, -42, 0.08, 0.101, 42,  , , ,  , , ,  , , ,  , , , 
1, 26, 10.3875033029, 10, 0.208, 0.084, -4, 0.205, 0.103, 31, 0.014, -0.103, -72, 0.204, -0.107, -6, 0.223, -0.133, -55, 0.208, -0.084, 4, 0.205, -0.102, -31, 0.014, 0.103, 72, 0.204, 0.107, 6, 0.223, 0.133, 55, 
1, 24, 7.21866486388, 10, 0.211, -0.102, -40, 0.198, -0.108, -48, 0.104, -0.133, -49, 0.236, -0.098, -3, 0.002, -0.134, -71, 0.211, 0.102, 40, 0.198, 0.108, 48, 0.104, 0.133, 49, 0.236, 0.098, 3, 0.002, 0.134, 71, 
1, 15, 9.36114161919, 10, 0.241, -0.109, -74, 0.226, -0.03, 29, 0.056, 0.113, 55, 0.223, -0.103, -99, 0.218, -0.139, -22, 0.241, 0.109, 74, 0.226, 0.03, -29, 0.056, -0.113, -55, 0.223, 0.103, 99, 0.218, 0.139, 22, 
2, 41, 15.2686413428, 6, 0.176, -0.108, -50, 0.24, -0.112, -48, 0.158, 0.117, 50, 0.176, 0.109, 50, 0.24, 0.113, 48, 0.158, -0.116, -50,  , , ,  , , ,  , , ,  , , , 
2, 41, 15.2686413428, 6, 0.176, -0.108, -50, 0.24, -0.112, -48, 0.158, 0.117, 50, 0.176, 0.109, 50, 0.24, 0.113, 48, 0.158, -0.116, -50,  , , ,  , , ,  , , ,  , , , 
2, 26, 10.3875033029, 10, 0.208, 0.084, -4, 0.205, 0.103, 31, 0.014, -0.103, -72, 0.204, -0.107, -6, 0.223, -0.133, -55, 0.208, -0.084, 4, 0.205, -0.102, -31, 0.014, 0.103, 72, 0.204, 0.107, 6, 0.223, 0.133, 55, 
2, 0, 11.889534254, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 38, 11.2844360922, 10, 0.176, -0.108, -50, 0.215, -0.052, -5, 0.221, -0.074, -25, 0.223, 0.016, -25, 0.218, -0.139, -22, 0.176, 0.109, 50, 0.215, 0.052, 5, 0.221, 0.074, 25, 0.223, -0.016, 25, 0.218, 0.139, 22, 
2, 26, 10.3875033029, 10, 0.208, 0.084, -4, 0.205, 0.103, 31, 0.014, -0.103, -72, 0.204, -0.107, -6, 0.223, -0.133, -55, 0.208, -0.084, 4, 0.205, -0.102, -31, 0.014, 0.103, 72, 0.204, 0.107, 6, 0.223, 0.133, 55, 
2, 41, 15.2686413428, 6, 0.176, -0.108, -50, 0.24, -0.112, -48, 0.158, 0.117, 50, 0.176, 0.109, 50, 0.24, 0.113, 48, 0.158, -0.116, -50,  , , ,  , , ,  , , ,  , , , 
2, 29, 7.47013811096, 6, 0.168, -0.131, -65, 0.249, 0.117, 16, 0.232, 0.12, 65, 0.168, 0.131, 65, 0.249, -0.117, -16, 0.232, -0.12, -65,  , , ,  , , ,  , , ,  , , , 
2, 32, 10.106529415, 10, 0.207, -0.078, 12, 0.209, -0.121, -64, 0.228, -0.088, 27, 0.234, -0.014, 11, 0.09, 0.115, -49, 0.207, 0.078, -12, 0.209, 0.121, 64, 0.228, 0.088, -27, 0.234, 0.014, -11, 0.09, -0.115, 49, 
2, 6, 8.14720441324, 4, 0.204, -0.128, -55, 0.241, -0.106, -28, 0.204, 0.128, 55, 0.241, 0.107, 28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 24, 7.21866486388, 10, 0.211, -0.102, -40, 0.198, -0.108, -48, 0.104, -0.133, -49, 0.236, -0.098, -3, 0.002, -0.134, -71, 0.211, 0.102, 40, 0.198, 0.108, 48, 0.104, 0.133, 49, 0.236, 0.098, 3, 0.002, 0.134, 71, 
2, 40, 10.0664272721, 10, 0.24, 0.104, 34, 0.215, -0.052, -5, 0.221, -0.074, -25, 0.223, 0.016, -25, 0.184, -0.125, -67, 0.24, -0.104, -34, 0.215, 0.052, 5, 0.221, 0.074, 25, 0.223, -0.016, 25, 0.184, 0.125, 67, 
2, 17, 12.3769108267, 6, 0.24, 0.104, 34, 0.24, -0.112, -48, 0.158, 0.117, 50, 0.24, -0.104, -34, 0.24, 0.113, 48, 0.158, -0.116, -50,  , , ,  , , ,  , , ,  , , , 
2, 0, 11.889534254, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 32, 10.106529415, 10, 0.207, -0.078, 12, 0.209, -0.121, -64, 0.228, -0.088, 27, 0.234, -0.014, 11, 0.09, 0.115, -49, 0.207, 0.078, -12, 0.209, 0.121, 64, 0.228, 0.088, -27, 0.234, 0.014, -11, 0.09, -0.115, 49, 
2, 28, 8.36202864839, 2, 0.188, -0.145, -81, 0.188, 0.145, 81,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 0, 11.889534254, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 8, 12.9556105786, 4, 0.192, -0.115, -66, 0.234, 0.103, 10, 0.192, 0.116, 66, 0.234, -0.102, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 8, 12.9556105786, 4, 0.192, -0.115, -66, 0.234, 0.103, 10, 0.192, 0.116, 66, 0.234, -0.102, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 19, 10.4058297032, 10, 0.176, -0.108, -50, 0.215, -0.052, -5, 0.221, -0.074, -25, 0.223, 0.016, -25, 0.184, -0.125, -67, 0.176, 0.109, 50, 0.215, 0.052, 5, 0.221, 0.074, 25, 0.223, -0.016, 25, 0.184, 0.125, 67, 
2, 39, 9.59994247502, 10, 0.241, -0.109, -74, 0.226, -0.03, 29, 0.056, 0.113, 55, 0.223, -0.103, -99, 0.184, -0.125, -67, 0.241, 0.109, 74, 0.226, 0.03, -29, 0.056, -0.113, -55, 0.223, 0.103, 99, 0.184, 0.125, 67, 
2, 43, 12.0134305303, 6, 0.192, -0.115, -66, 0.24, -0.112, -48, 0.056, 0.117, 50, 0.192, 0.116, 66, 0.24, 0.113, 48, 0.056, -0.116, -50,  , , ,  , , ,  , , ,  , , , 
2, 8, 12.9556105786, 4, 0.192, -0.115, -66, 0.234, 0.103, 10, 0.192, 0.116, 66, 0.234, -0.102, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 15, 9.36114161919, 10, 0.241, -0.109, -74, 0.226, -0.03, 29, 0.056, 0.113, 55, 0.223, -0.103, -99, 0.218, -0.139, -22, 0.241, 0.109, 74, 0.226, 0.03, -29, 0.056, -0.113, -55, 0.223, 0.103, 99, 0.218, 0.139, 22, 
2, 25, 11.2532050998, 6, 0.198, 0.14, 41, 0.052, 0.102, 51, 0.207, -0.016, -25, 0.198, -0.139, -41, 0.052, -0.101, -51, 0.207, 0.016, 25,  , , ,  , , ,  , , ,  , , , 
2, 19, 10.4058297032, 10, 0.176, -0.108, -50, 0.215, -0.052, -5, 0.221, -0.074, -25, 0.223, 0.016, -25, 0.184, -0.125, -67, 0.176, 0.109, 50, 0.215, 0.052, 5, 0.221, 0.074, 25, 0.223, -0.016, 25, 0.184, 0.125, 67, 
