*****Sonar Placement GA Expirement*****
Start Time: 2017-12-29 10:06:20.347316
Rand_seed:3
End Time: 2017-12-30 04:04:47.105558
Running Time: 17:58:25.587477
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 7.72449254313, 4, 0.074, -0.12, -71, 0.002, 0.142, 77, 0.074, 0.12, 71, 0.002, -0.142, -77,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 1, 5.22625124721, 4, 0.224, -0.108, -48, 0.208, 0.132, 13, 0.224, 0.108, 48, 0.208, -0.132, -13,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 2, 7.08915266475, 6, 0.234, 0.103, 24, 0.06, -0.148, -84, 0.144, -0.106, -76, 0.234, -0.103, -24, 0.06, 0.149, 84, 0.144, 0.106, 76,  , , ,  , , ,  , , ,  , , , 
0, 3, 9.59224757888, 10, 0.24, -0.012, -27, 0.205, -0.143, -21, 0.222, -0.118, -30, 0.076, -0.133, -69, 0.182, -0.116, -87, 0.24, 0.012, 27, 0.205, 0.144, 21, 0.222, 0.119, 30, 0.076, 0.133, 69, 0.182, 0.116, 87, 
0, 4, 10.571725829, 10, 0.234, -0.142, -86, 0.246, -0.121, -72, 0.242, 0.014, 13, 0.172, 0.15, 86, 0.221, -0.142, -29, 0.234, 0.142, 86, 0.246, 0.122, 72, 0.242, -0.014, -13, 0.172, -0.149, -86, 0.221, 0.143, 29, 
0, 5, 7.43328557964, 8, 0.202, -0.119, -4, 0.217, 0.144, 1, 0.2, -0.135, -43, 0.006, -0.14, -60, 0.202, 0.119, 4, 0.217, -0.144, -1, 0.2, 0.135, 43, 0.006, 0.141, 60,  , , ,  , , , 
0, 6, 10.4713836625, 8, 0.008, 0.144, 74, 0.245, -0.131, -46, 0.13, -0.12, -68, 0.247, 0.126, 57, 0.008, -0.143, -74, 0.245, 0.131, 46, 0.13, 0.12, 68, 0.247, -0.126, -57,  , , ,  , , , 
0, 7, 6.46145575435, 8, 0.215, 0.096, -1, 0.002, -0.13, -69, 0.124, 0.132, 87, 0.224, 0.134, 65, 0.215, -0.096, 1, 0.002, 0.13, 69, 0.124, -0.132, -87, 0.224, -0.134, -65,  , , ,  , , , 
0, 8, 6.61589785389, 8, 0.201, 0.103, 32, 0.213, -0.127, -59, 0.218, -0.038, 8, 0.06, -0.131, -79, 0.201, -0.103, -32, 0.213, 0.127, 59, 0.218, 0.038, -8, 0.06, 0.131, 79,  , , ,  , , , 
0, 9, 12.4615964861, 2, 0.148, -0.135, -51, 0.148, 0.135, 51,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 10, 7.32609338349, 10, 0.209, -0.014, -12, 0.064, 0.117, 48, 0.172, -0.141, -57, 0.245, 0.123, 78, 0.106, 0.11, 49, 0.209, 0.014, 12, 0.064, -0.116, -48, 0.172, 0.142, 57, 0.245, -0.122, -78, 0.106, -0.109, -49, 
0, 11, 9.59467102727, 10, 0.056, 0.141, 58, 0.217, -0.143, -29, 0.214, 0.117, 58, 0.082, -0.104, -47, 0.19, 0.144, 40, 0.056, -0.14, -58, 0.217, 0.144, 29, 0.214, -0.117, -58, 0.082, 0.104, 47, 0.19, -0.144, -40, 
0, 12, 11.0553333412, 6, 0.247, -0.139, -75, 0.233, -0.124, -29, 0.211, -0.088, -5, 0.247, 0.139, 75, 0.233, 0.124, 29, 0.211, 0.088, 5,  , , ,  , , ,  , , ,  , , , 
0, 13, 12.3691600236, 4, 0.202, -0.104, -70, 0.245, -0.105, -58, 0.202, 0.105, 70, 0.245, 0.105, 58,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 14, 12.7147746252, 2, 0.209, 0.115, 34, 0.209, -0.115, -34,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 15, 9.41584481144, 6, 0.188, -0.119, -57, 0.244, -0.004, -17, 0.21, 0.006, -19, 0.188, 0.12, 57, 0.244, 0.004, 17, 0.21, -0.006, 19,  , , ,  , , ,  , , ,  , , , 
0, 16, 4.47106597114, 2, 0.247, 0.141, 17, 0.247, -0.14, -17,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 17, 3.96798545607, 2, 0.244, 0.103, 73, 0.244, -0.102, -73,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 18, 8.19014511273, 4, 0.084, -0.127, -79, 0.01, 0.106, 84, 0.084, 0.127, 79, 0.01, -0.106, -84,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 19, 8.88631451336, 2, 0.243, -0.146, -50, 0.243, 0.146, 50,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 20, 8.82590665086, 4, 0.217, 0.03, -5, 0.21, -0.034, 23, 0.217, -0.03, 5, 0.21, 0.034, -23,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 21, 7.67874030064, 6, 0.219, 0.104, 82, 0.231, 0.058, 7, 0.231, -0.129, -37, 0.219, -0.104, -82, 0.231, -0.058, -7, 0.231, 0.129, 37,  , , ,  , , ,  , , ,  , , , 
0, 22, 7.08345314283, 6, 0.221, 0.135, 54, 0.227, 0.04, 26, 0.086, -0.106, -87, 0.221, -0.135, -54, 0.227, -0.04, -26, 0.086, 0.106, 87,  , , ,  , , ,  , , ,  , , , 
