*****Sonar Placement GA Expirement*****
Start Time: 2018-01-31 18:12:16.024408
Rand_seed:2
End Time: 2018-02-01 09:41:23.368386
Running Time: 15:28:51.330927
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 6
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 540
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, Raw Fitness
0, 0, 3.45272919882, 6, 0.247, -0.147, -8, 0.237, -0.116, -31, 0.231, 0.129, 85, 0.247, 0.148, 8, 0.237, 0.117, 31, 0.231, -0.129, -85, -1.0, 31.0061427376, -1.0, 12.0456448582, -1.0, 51.0313080839, 
0, 1, 4.28776502412, 6, 0.078, -0.113, -90, 0.227, -0.128, -27, 0.004, 0.123, 74, 0.078, 0.114, 90, 0.227, 0.128, 27, 0.004, -0.123, -74, -1.0, 60.0, -1.0, 12.0739911051, -1.0, 50.7218323899, 
0, 2, 3.47858016111, 6, 0.245, 0.006, -4, 0.201, -0.036, 22, 0.2, -0.116, -49, 0.245, -0.006, 4, 0.201, 0.036, -22, 0.2, 0.116, 49, -1.0, 21.9263947941, -1.0, 10.9943956404, -1.0, 60.0, 
0, 3, 2.24422634194, 6, 0.24, -0.113, -91, 0.24, 0.118, 1, 0.208, -0.112, -72, 0.24, 0.113, 91, 0.24, -0.117, -1, 0.208, 0.112, 72, -1.0, 21.9248179304, -1.0, 2.6460064848, -1.0, 22.6393066872, 
0, 4, 2.42778181131, 6, 0.106, -0.126, -87, 0.166, -0.133, -85, 0.223, -0.121, -92, 0.106, 0.126, 87, 0.166, 0.133, 85, 0.223, 0.122, 92, -1.0, 11.5623827366, -1.0, 21.9563842164, -1.0, 22.3041014034, 
0, 5, 3.49310298119, 6, 0.225, 0.111, 68, 0.208, 0.146, 73, 0.216, -0.102, -71, 0.225, -0.111, -68, 0.208, -0.145, -73, 0.216, 0.102, 71, -1.0, 11.6100249446, -1.0, 21.9599612322, -1.0, 60.0, 
0, 6, 3.24844364199, 6, 0.104, -0.117, -69, 0.21, 0.002, -26, 0.204, 0.141, 27, 0.104, 0.118, 69, 0.21, -0.002, 26, 0.204, -0.141, -27, -1.0, 22.0017885929, -1.0, 0.0, -1.0, 60.0, 
0, 7, 4.11782995219, 6, 0.21, -0.112, -5, 0.214, 0.111, 12, 0.104, 0.143, 78, 0.21, 0.113, 5, 0.214, -0.111, -12, 0.104, -0.143, -78, -1.0, 30.8287843834, -1.0, 12.0996432768, -1.0, 71.7434094103, 
0, 8, 3.73650234967, 6, 0.244, -0.016, -13, 0.072, 0.109, 56, 0.192, 0.101, 53, 0.244, 0.016, 13, 0.072, -0.108, -56, 0.192, -0.101, -53, -1.0, 22.0105708549, -1.0, 21.977227778, -1.0, 60.0, 
0, 9, 4.96572997453, 6, 0.05, 0.141, 82, 0.138, 0.119, 88, 0.208, -0.148, -34, 0.05, -0.141, -82, 0.138, -0.119, -88, 0.208, 0.149, 34, -1.0, 60.0, -1.0, 11.856103226, -1.0, 71.8880796226, 
0, 10, 4.8062039748, 6, 0.237, 0.106, 66, 0.09, 0.139, 53, 0.238, -0.106, -71, 0.237, -0.105, -66, 0.09, -0.138, -53, 0.238, 0.107, 71, -1.0, 60.0, -1.0, 21.9099657453, -1.0, 60.0, 
0, 11, 4.75679091413, 6, 0.044, -0.117, -56, 0.09, 0.144, 84, 0.078, -0.124, -47, 0.044, 0.117, 56, 0.09, -0.144, -84, 0.078, 0.124, 47, -1.0, 60.0, -1.0, 1.65630218475, -1.0, 72.1450126128, 
0, 12, 3.49577646534, 6, 0.213, -0.119, -42, 0.112, 0.107, 88, 0.032, 0.105, 58, 0.213, 0.12, 42, 0.112, -0.107, -88, 0.032, -0.104, -58, -1.0, 60.0, -1.0, 11.4059501893, -1.0, 22.2557929746, 
0, 13, 3.28098944505, 6, 0.198, -0.103, -90, 0.222, -0.05, -6, 0.24, 0.136, 75, 0.198, 0.103, 90, 0.222, 0.05, 6, 0.24, -0.136, -75, -1.0, 21.9600123846, -1.0, 1.66439804395, -1.0, 60.0, 
0, 14, 4.57374509087, 6, 0.106, -0.15, -41, 0.022, -0.113, -52, 0.036, 0.112, 79, 0.106, 0.15, 41, 0.022, 0.114, 52, 0.036, -0.111, -79, -1.0, 60.0, -1.0, 11.9707591683, -1.0, 60.0, 
0, 15, 2.45440196024, 6, 0.092, -0.135, -72, 0.246, 0.094, -14, 0.102, -0.121, -42, 0.092, 0.135, 72, 0.246, -0.094, 14, 0.102, 0.121, 42, -1.0, 22.2804628447, -1.0, 12.3147397511, -1.0, 22.3801750431, 
0, 16, 3.49782569142, 6, 0.106, -0.141, -44, 0.218, -0.124, -93, 0.215, 0.15, 63, 0.106, 0.141, 44, 0.218, 0.124, 93, 0.215, -0.149, -63, -1.0, 60.0, -1.0, 11.4090525082, -1.0, 22.3367480907, 
0, 17, 3.49051205691, 6, 0.138, 0.105, 75, 0.234, -0.149, -45, 0.098, -0.139, -70, 0.138, -0.105, -75, 0.234, 0.15, 45, 0.098, 0.14, 70, -1.0, 21.9806772361, -1.0, 11.4712292482, -1.0, 60.0, 
