*****Sonar Placement GA Expirement*****
Start Time: 2017-12-11 08:23:07.677217
Rand_seed:3
End Time: 2017-12-12 05:59:31.370495
Running Time: 21:36:20.520052
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: transient
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 4.25026130696, 3, 0.231, -0.141, -27, 0.237, 0.106, 79, 0.235, 0.146, 62,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 44.0431650289, -1.0, 23.903515043, -1.0, 24.1051918255, 
0, 1, 5.12620647091, 2, 0.247, 0.121, 44, 0.202, 0.129, 91,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 43.995616515, -1.0, 24.1365328638, -1.0, 45.3184377226, 
0, 2, 8.16574752529, 1, 0.13, -0.137, -54,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 23.1032148082, -1.0, 5.62253747467, 0.354509259259, 100.0, 
0, 3, 7.94645296997, 5, 0.152, 0.145, 61, 0.226, -0.077, -11, 0.235, -0.11, 27, 0.21, 0.141, 48, 0.018, 0.145, 59,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 43.9555938606, -1.0, 24.1901689105, 0.353444444444, 100.0, 
0, 4, 8.61735861486, 1, 0.116, 0.122, 73,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 23.1248551804, -1.0, 23.7826969374, 0.367175925926, 100.0, 
0, 5, 6.78488235291, 8, 0.206, 0.126, 100, 0.128, 0.132, 47, 0.174, 0.121, 71, 0.217, -0.08, 15, 0.22, 0.14, 40, 0.036, -0.134, -67, 0.249, -0.137, -43, 0.248, -0.15, -89,  , , ,  , , , 0.226, 100.0, -1.0, 23.0839731924, -1.0, 47.2018990105, 
0, 6, 8.96283954221, 5, 0.205, -0.14, -45, 0.204, -0.136, 0, 0.249, -0.015, 14, 0.074, -0.145, -72, 0.048, -0.134, -61,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 42.6402487342, -1.0, 63.1125799694, 0.329527777778, 100.0, 
0, 7, 11.9163766364, 4, 0.074, 0.114, 50, 0.214, -0.12, -63, 0.196, 0.106, 66, 0.22, 0.112, 77,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.300861111111, 100.0, -1.0, 24.6587124262, 0.367537037037, 100.0, 
0, 8, 9.3780047957, 9, 0.14, 0.101, 53, 0.082, 0.106, 44, 0.128, -0.128, -54, 0.2, 0.126, 82, 0.046, 0.143, 53, 0.213, -0.142, -42, 0.246, 0.103, 30, 0.244, 0.142, 40, 0.082, 0.136, 71,  , , , 0.249537037037, 100.0, -1.0, 4.0720530687, 0.197314814815, 100.0, 
0, 9, 11.3696869699, 7, 0.158, -0.104, -70, 0.237, 0.132, 14, 0.106, -0.132, -51, 0.096, 0.139, 69, 0.214, 0.003, -15, 0.229, -0.131, -37, 0.2, 0.128, 58,  , , ,  , , ,  , , , 0.314157407407, 100.0, -1.0, 46.6235421075, 0.262074074074, 100.0, 
