*****Sonar Placement GA Expirement*****
Start Time: 2017-12-29 10:05:40.605622
Rand_seed:13
End Time: 2017-12-30 03:14:47.105645
Running Time: 17:08:17.068019
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 4.50696399857, 4, 0.235, 0.143, 82, 0.207, -0.056, -14, 0.235, -0.142, -82, 0.207, 0.056, 14,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 1, 8.36685490829, 2, 0.042, -0.136, -62, 0.042, 0.136, 62,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 2, 10.3767463215, 10, 0.201, 0.114, 86, 0.241, -0.109, -83, 0.247, 0.14, 75, 0.225, -0.112, -56, 0.072, -0.129, -56, 0.201, -0.113, -86, 0.241, 0.11, 83, 0.247, -0.14, -75, 0.225, 0.112, 56, 0.072, 0.129, 56, 
0, 3, 8.33933443237, 2, 0.24, -0.1, -69, 0.24, 0.101, 69,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 4, 7.45888128333, 6, 0.207, 0.134, 56, 0.04, 0.126, 78, 0.122, -0.131, -46, 0.207, -0.134, -56, 0.04, -0.126, -78, 0.122, 0.131, 46,  , , ,  , , ,  , , ,  , , , 
0, 5, 3.95316185493, 6, 0.212, -0.062, 8, 0.13, 0.148, 71, 0.247, 0.102, 86, 0.212, 0.062, -8, 0.13, -0.148, -71, 0.247, -0.102, -86,  , , ,  , , ,  , , ,  , , , 
0, 6, 10.5202301372, 10, 0.232, -0.142, -41, 0.245, -0.109, -20, 0.218, -0.114, -13, 0.23, -0.114, -21, 0.229, 0.13, 64, 0.232, 0.142, 41, 0.245, 0.11, 20, 0.218, 0.114, 13, 0.23, 0.114, 21, 0.229, -0.13, -64, 
0, 7, 7.46307392477, 8, 0.215, -0.068, -11, 0.044, 0.103, 58, 0.108, -0.148, -62, 0.205, -0.1, -30, 0.215, 0.068, 11, 0.044, -0.103, -58, 0.108, 0.149, 62, 0.205, 0.1, 30,  , , ,  , , , 
0, 8, 4.52532253328, 2, 0.214, 0.02, 26, 0.214, -0.02, -26,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 9, 8.05189274753, 6, 0.242, -0.1, 10, 0.194, -0.124, -64, 0.215, 0.102, 50, 0.242, 0.1, -10, 0.194, 0.124, 64, 0.215, -0.101, -50,  , , ,  , , ,  , , ,  , , , 
