*****Sonar Placement GA Expirement*****
Start Time: 2018-01-02 09:25:38.589383
Rand_seed:16
End Time: 2018-01-03 01:07:37.812009
Running Time: 15:41:57.325240
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 23, 8.74230515988, 4, 0.012, 0.113, 69, 0.084, 0.124, 43, 0.012, -0.112, -69, 0.084, -0.124, -43,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 24, 11.0654041316, 8, 0.211, -0.064, 7, 0.248, -0.143, -65, 0.247, 0.138, 37, 0.052, 0.147, 44, 0.211, 0.064, -7, 0.248, 0.143, 65, 0.247, -0.138, -37, 0.052, -0.147, -44,  , , ,  , , , 
0, 25, 7.44332028328, 10, 0.239, 0.058, 6, 0.223, 0.008, 29, 0.2, 0.121, 70, 0.106, -0.115, -67, 0.008, 0.113, 72, 0.239, -0.058, -6, 0.223, -0.008, -29, 0.2, -0.12, -70, 0.106, 0.115, 67, 0.008, -0.113, -72, 
0, 26, 5.89679007654, 10, 0.026, -0.108, -56, 0.126, -0.114, -52, 0.0, -0.103, -84, 0.21, -0.118, -43, 0.042, 0.144, 60, 0.026, 0.108, 56, 0.126, 0.114, 52, 0.0, 0.103, 84, 0.21, 0.119, 43, 0.042, -0.144, -60, 
0, 27, 7.63964883927, 6, 0.118, 0.145, 80, 0.247, -0.046, 2, 0.237, -0.135, -33, 0.118, -0.145, -80, 0.247, 0.046, -2, 0.237, 0.135, 33,  , , ,  , , ,  , , ,  , , , 
0, 28, 4.47696943737, 4, 0.104, 0.107, 77, 0.206, -0.146, -5, 0.104, -0.107, -77, 0.206, 0.146, 5,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 29, 11.3492980868, 8, 0.214, 0.004, -14, 0.203, -0.133, -1, 0.234, -0.032, 4, 0.249, 0.062, -24, 0.214, -0.004, 14, 0.203, 0.133, 1, 0.234, 0.032, -4, 0.249, -0.062, 24,  , , ,  , , , 
1, 1, 15.8910930146, 4, 0.207, 0.05, 12, 0.248, 0.113, 10, 0.207, -0.05, -12, 0.248, -0.112, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 18, 10.5222257078, 10, 0.18, 0.126, 63, 0.216, -0.119, -59, 0.207, -0.014, 13, 0.221, 0.104, 31, 0.231, -0.135, -30, 0.18, -0.126, -63, 0.216, 0.119, 59, 0.207, 0.014, -13, 0.221, -0.104, -31, 0.231, 0.135, 30, 
1, 19, 10.0377535743, 10, 0.146, -0.146, -81, 0.213, -0.135, -65, 0.24, -0.149, -11, 0.22, -0.102, -45, 0.211, -0.101, -47, 0.146, 0.147, 81, 0.213, 0.135, 65, 0.24, 0.149, 11, 0.22, 0.102, 45, 0.211, 0.102, 47, 
1, 3, 4.5200354979, 2, 0.223, -0.088, -12, 0.223, 0.088, 12,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 22, 8.86804983656, 2, 0.214, 0.105, 50, 0.214, -0.105, -50,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 16, 8.76033186559, 6, 0.146, -0.122, -42, 0.217, -0.117, -42, 0.208, -0.147, -4, 0.146, 0.123, 42, 0.217, 0.118, 42, 0.208, 0.148, 4,  , , ,  , , ,  , , ,  , , , 
1, 4, 11.0405317187, 8, 0.17, 0.124, 44, 0.16, -0.128, -71, 0.004, -0.143, -51, 0.074, -0.123, -73, 0.17, -0.124, -44, 0.16, 0.128, 71, 0.004, 0.143, 51, 0.074, 0.123, 73,  , , ,  , , , 
1, 21, 9.33345417608, 10, 0.221, -0.111, -75, 0.248, -0.108, -77, 0.209, -0.016, 13, 0.208, 0.11, 27, 0.016, 0.1, 90, 0.221, 0.112, 75, 0.248, 0.108, 77, 0.209, 0.016, -13, 0.208, -0.11, -27, 0.016, -0.1, -90, 
1, 17, 11.8542404062, 6, 0.223, -0.103, -14, 0.208, -0.105, -19, 0.124, -0.101, -61, 0.223, 0.103, 14, 0.208, 0.106, 19, 0.124, 0.101, 61,  , , ,  , , ,  , , ,  , , , 
1, 6, 5.76625769566, 10, 0.138, 0.147, 51, 0.128, 0.113, 81, 0.106, 0.146, 85, 0.078, 0.102, 67, 0.223, 0.102, 97, 0.138, -0.147, -51, 0.128, -0.112, -81, 0.106, -0.146, -85, 0.078, -0.101, -67, 0.223, -0.101, -97, 
1, 2, 9.29697201594, 10, 0.201, 0.123, 37, 0.211, -0.038, 15, 0.217, 0.121, 36, 0.215, -0.148, -98, 0.24, -0.124, -23, 0.201, -0.123, -37, 0.211, 0.038, -15, 0.217, -0.121, -36, 0.215, 0.148, 98, 0.24, 0.124, 23, 
1, 23, 8.74230515988, 4, 0.012, 0.113, 69, 0.084, 0.124, 43, 0.012, -0.112, -69, 0.084, -0.124, -43,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 23, 8.74230515988, 4, 0.012, 0.113, 69, 0.084, 0.124, 43, 0.012, -0.112, -69, 0.084, -0.124, -43,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
