*****Sonar Placement GA Expirement*****
Start Time: 2017-12-31 12:48:29.496027
Rand_seed:1
End Time: 2017-12-31 23:13:29.266212
Running Time: 10:24:57.585891
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 8.84768878918, 2, 0.239, -0.137, -50, 0.239, 0.138, 50,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 1, 3.41773904727, 6, 0.24, 0.105, 98, 0.222, -0.112, 0, 0.144, -0.138, -88, 0.24, -0.104, -98, 0.222, 0.112, 0, 0.144, 0.139, 88,  , , ,  , , ,  , , ,  , , , 
0, 2, 10.5276566634, 10, 0.004, 0.127, 43, 0.211, -0.016, 29, 0.222, 0.0, 16, 0.211, -0.008, 13, 0.168, 0.128, 58, 0.004, -0.127, -43, 0.211, 0.016, -29, 0.222, 0.0, -16, 0.211, 0.008, -13, 0.168, -0.128, -58, 
0, 3, 4.53956252726, 2, 0.243, -0.144, -33, 0.243, 0.144, 33,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 4, 11.3245819163, 8, 0.247, 0.121, 17, 0.215, 0.13, 11, 0.226, -0.12, -3, 0.24, -0.018, 20, 0.247, -0.121, -17, 0.215, -0.13, -11, 0.226, 0.121, 3, 0.24, 0.018, -20,  , , ,  , , , 
0, 5, 11.6922283039, 6, 0.234, 0.119, 56, 0.156, -0.124, -60, 0.004, -0.148, -75, 0.234, -0.118, -56, 0.156, 0.124, 60, 0.004, 0.148, 75,  , , ,  , , ,  , , ,  , , , 
0, 6, 3.33215655587, 10, 0.078, -0.141, -65, 0.239, -0.123, -86, 0.226, 0.092, -5, 0.054, -0.122, -88, 0.158, 0.141, 45, 0.078, 0.142, 65, 0.239, 0.123, 86, 0.226, -0.092, 5, 0.054, 0.123, 88, 0.158, -0.141, -45, 
0, 7, 6.92080369933, 8, 0.226, -0.122, -43, 0.174, 0.129, 80, 0.096, -0.132, -57, 0.124, -0.119, -63, 0.226, 0.122, 43, 0.174, -0.129, -80, 0.096, 0.132, 57, 0.124, 0.12, 63,  , , ,  , , , 
0, 8, 4.52259564639, 2, 0.209, 0.018, -22, 0.209, -0.018, 22,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 9, 7.23760741142, 8, 0.241, 0.113, 15, 0.204, 0.101, 99, 0.213, 0.106, 37, 0.204, -0.068, -2, 0.241, -0.112, -15, 0.204, -0.1, -99, 0.213, -0.105, -37, 0.204, 0.068, 2,  , , ,  , , , 
0, 10, 4.11557609837, 2, 0.236, -0.01, 11, 0.236, 0.01, -11,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 11, 7.03561703263, 6, 0.078, 0.121, 81, 0.18, 0.126, 80, 0.241, 0.101, 99, 0.078, -0.121, -81, 0.18, -0.126, -80, 0.241, -0.101, -99,  , , ,  , , ,  , , ,  , , , 
0, 12, 8.33551298434, 2, 0.208, 0.136, 32, 0.208, -0.136, -32,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 13, 3.96209973398, 6, 0.249, 0.06, -1, 0.233, -0.022, -5, 0.232, -0.09, 12, 0.249, -0.06, 1, 0.233, 0.022, 5, 0.232, 0.09, -12,  , , ,  , , ,  , , ,  , , , 
0, 14, 9.94199094362, 10, 0.215, -0.107, -31, 0.238, -0.129, -25, 0.176, 0.102, 49, 0.229, -0.141, -87, 0.236, -0.124, -38, 0.215, 0.107, 31, 0.238, 0.129, 25, 0.176, -0.101, -49, 0.229, 0.142, 87, 0.236, 0.124, 38, 
0, 15, 8.15952893539, 4, 0.234, -0.014, 19, 0.134, 0.115, 65, 0.234, 0.014, -19, 0.134, -0.114, -65,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 16, 8.83351150891, 4, 0.245, -0.149, -20, 0.249, 0.058, 10, 0.245, 0.15, 20, 0.249, -0.058, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 17, 7.6091368437, 4, 0.242, 0.147, 66, 0.235, -0.126, -99, 0.242, -0.147, -66, 0.235, 0.126, 99,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 18, 8.76577490749, 4, 0.204, 0.109, 8, 0.238, 0.02, -21, 0.204, -0.108, -8, 0.238, -0.02, 21,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 19, 11.8528600947, 4, 0.215, 0.074, -6, 0.245, -0.143, -55, 0.215, -0.074, 6, 0.245, 0.144, 55,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 20, 12.9631712187, 2, 0.014, 0.144, 50, 0.014, -0.143, -50,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 21, 9.93388864166, 10, 0.231, 0.056, 7, 0.044, -0.146, -53, 0.229, -0.103, -46, 0.24, 0.066, 30, 0.205, 0.106, 11, 0.231, -0.056, -7, 0.044, 0.146, 53, 0.229, 0.104, 46, 0.24, -0.066, -30, 0.205, -0.105, -11, 
0, 22, 4.52197604331, 2, 0.249, -0.016, 23, 0.249, 0.016, -23,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 23, 4.52537046425, 2, 0.238, -0.08, -25, 0.238, 0.08, 25,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 24, 13.0118679672, 4, 0.246, -0.136, -25, 0.02, -0.117, -42, 0.246, 0.136, 25, 0.02, 0.118, 42,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 25, 8.8961543533, 2, 0.215, -0.12, -45, 0.215, 0.12, 45,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 26, 11.8786922219, 4, 0.184, 0.149, 41, 0.042, 0.131, 41, 0.184, -0.148, -41, 0.042, -0.131, -41,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 27, 8.29964388706, 6, 0.233, 0.113, 46, 0.212, -0.084, 13, 0.223, -0.117, -64, 0.233, -0.113, -46, 0.212, 0.084, -13, 0.223, 0.118, 64,  , , ,  , , ,  , , ,  , , , 
0, 28, 9.71995694429, 10, 0.215, -0.034, 11, 0.245, -0.135, -33, 0.116, -0.12, -52, 0.048, 0.104, 62, 0.014, 0.132, 76, 0.215, 0.034, -11, 0.245, 0.135, 33, 0.116, 0.12, 52, 0.048, -0.103, -62, 0.014, -0.132, -76, 
0, 29, 6.96286360744, 8, 0.174, -0.142, -65, 0.204, 0.148, 83, 0.249, 0.141, 68, 0.102, 0.146, 76, 0.174, 0.143, 65, 0.204, -0.147, -83, 0.249, -0.141, -68, 0.102, -0.146, -76,  , , ,  , , , 
1, 24, 13.0118679672, 4, 0.246, -0.136, -25, 0.02, -0.117, -42, 0.246, 0.136, 25, 0.02, 0.118, 42,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
