*****Sonar Placement GA Expirement*****
Start Time: 2018-01-02 09:25:26.429094
Rand_seed:17
End Time: 2018-01-03 02:55:46.405199
Running Time: 17:30:10.684406
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 6.64057972658, 6, 0.248, -0.136, -77, 0.233, 0.106, 98, 0.238, -0.05, 0, 0.248, 0.136, 77, 0.233, -0.105, -98, 0.238, 0.05, 0,  , , ,  , , ,  , , ,  , , , 
0, 1, 3.44080218625, 4, 0.247, -0.13, -100, 0.164, 0.144, 83, 0.247, 0.13, 100, 0.164, -0.144, -83,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 2, 10.596524754, 8, 0.192, -0.139, -67, 0.232, -0.135, -8, 0.224, -0.1, -14, 0.241, -0.104, -1, 0.192, 0.14, 67, 0.232, 0.135, 8, 0.224, 0.1, 14, 0.241, 0.104, 1,  , , ,  , , , 
0, 3, 12.0075410974, 4, 0.15, 0.118, 42, 0.239, 0.074, 16, 0.15, -0.117, -42, 0.239, -0.074, -16,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 4, 7.09421865868, 6, 0.227, -0.132, -26, 0.21, 0.13, 44, 0.026, -0.117, -86, 0.227, 0.132, 26, 0.21, -0.13, -44, 0.026, 0.117, 86,  , , ,  , , ,  , , ,  , , , 
0, 5, 11.832705994, 4, 0.246, 0.016, 14, 0.152, 0.118, 67, 0.246, -0.016, -14, 0.152, -0.117, -67,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 6, 12.3128108984, 4, 0.237, 0.116, 93, 0.246, -0.149, -56, 0.237, -0.115, -93, 0.246, 0.149, 56,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 7, 10.4672138378, 8, 0.146, -0.102, -70, 0.21, -0.05, 21, 0.042, 0.143, 63, 0.246, -0.109, -4, 0.146, 0.102, 70, 0.21, 0.05, -21, 0.042, -0.142, -63, 0.246, 0.11, 4,  , , ,  , , , 
0, 8, 9.69433339324, 10, 0.154, 0.142, 57, 0.014, -0.146, -72, 0.227, -0.048, 21, 0.237, -0.002, 7, 0.11, -0.124, -62, 0.154, -0.142, -57, 0.014, 0.146, 72, 0.227, 0.048, -21, 0.237, 0.002, -7, 0.11, 0.124, 62, 
0, 9, 10.7992625738, 10, 0.212, 0.116, 81, 0.201, 0.05, -4, 0.18, -0.134, -69, 0.228, -0.119, -37, 0.238, -0.135, -35, 0.212, -0.116, -81, 0.201, -0.05, 4, 0.18, 0.134, 69, 0.228, 0.12, 37, 0.238, 0.135, 35, 
