*****Sonar Placement GA Expirement*****
Start Time: 2017-10-17 21:43:03.559460
Rand_seed:8
End Time: 2017-10-19 00:48:15.129278
Running Time: 1 day, 3:04:25.003587
Population size:40
Generation Count:60
Mutation Probability:0.2
Cross Over Probability:0.35
***** Constraints *****
Max Number of Sensors: 1
X Position: [0, 0.25]
Y Position: [-0.15, 0.15]
Z Orient: [-90, 90]
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, 
2, 88, 12.7386660427, 1, 0.091, 0.121, -22.0, 
2, 89, 11.2628940186, 1, 0.075, -0.146, 48.0, 
2, 90, 11.8370498067, 1, 0.25, 0, 0, 
2, 91, 14.3639095342, 1, 0.102, 0.121, -22.0, 
2, 92, 11.2179327521, 1, 0.248, 0.024, -58.0, 
2, 93, 11.2252614971, 1, 0.165, -0.048, 35.0, 
2, 94, 12.1105935075, 1, 0.177, -0.023, -22.0, 
2, 95, 13.2152837103, 1, 0.085, -0.099, -12.0, 
2, 96, 13.151924115, 1, 0.25, -0.087, 26.0, 
2, 97, 11.189671451, 1, 0.09, 0.117, -59.0, 
2, 98, 13.2152837103, 1, 0.085, -0.099, -12.0, 
2, 99, 9.49875231523, 1, 0.127, 0.06, -51.0, 
2, 100, 12.34997996, 1, 0.024, 0.057, 37.0, 
2, 101, 11.2252614971, 1, 0.165, -0.048, 35.0, 
2, 102, 13.151924115, 1, 0.25, -0.087, 26.0, 
2, 103, 11.2628940186, 1, 0.075, -0.146, 48.0, 
2, 104, 13.2152837103, 1, 0.085, -0.099, -12.0, 
2, 105, 13.6603130959, 1, 0.067, -0.023, -22.0, 
2, 106, 12.1089146681, 1, 0.099, -0.1, 30.0, 
2, 107, 11.6686082282, 1, 0.176, -0.124, -46.0, 
2, 108, 11.4785227142, 1, 0.115, -0.014, -1.0, 
2, 109, 14.9376680525, 1, 0.22, -0.064, -26.0, 
2, 110, 11.0483945764, 1, 0.209, 0.117, -59.0, 
2, 111, 11.8500186227, 1, 0.059, -0.144, -42.0, 
2, 112, 12.34997996, 1, 0.024, 0.057, 37.0, 
2, 113, 13.151924115, 1, 0.25, -0.087, 26.0, 
2, 114, 11.8370498067, 1, 0.25, 0, 0, 
2, 115, 13.6603130959, 1, 0.067, -0.023, -22.0, 
2, 116, 10.0661463915, 1, 0.008, 0.14, 47.0, 
2, 117, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 88, 12.7386660427, 1, 0.091, 0.121, -22.0, 
3, 118, 13.151924115, 1, 0.25, -0.087, 26.0, 
3, 119, 13.151924115, 1, 0.25, -0.087, 26.0, 
3, 120, 12.1089146681, 1, 0.099, -0.1, 30.0, 
3, 121, 12.3823400008, 1, 0.016, 0.036, -22.0, 
3, 122, 11.8370498067, 1, 0.25, 0, 0, 
3, 123, 14.9376680525, 1, 0.22, -0.064, -26.0, 
3, 124, 14.3639095342, 1, 0.102, 0.121, -22.0, 
3, 125, 13.151924115, 1, 0.25, -0.087, 26.0, 
3, 126, 14.9376680525, 1, 0.22, -0.064, -26.0, 
3, 127, 13.1384417773, 1, 0.055, -0.087, 26.0, 
3, 128, 14.3639095342, 1, 0.102, 0.121, -22.0, 
3, 129, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 130, 11.6686082282, 1, 0.176, -0.124, -46.0, 
3, 131, 11.2628940186, 1, 0.075, -0.146, 48.0, 
3, 132, 14.3639095342, 1, 0.102, 0.121, -22.0, 
3, 133, 12.34997996, 1, 0.024, 0.057, 37.0, 
3, 134, 11.8370498067, 1, 0.25, 0, 0, 
3, 135, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 136, 12.2050456966, 1, 0.148, -0.099, -12.0, 
3, 137, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 138, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 139, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 140, 12.3823400008, 1, 0.016, 0.036, -22.0, 
3, 141, 11.5572844218, 1, 0.085, 0.107, -12.0, 
3, 142, 14.3639095342, 1, 0.102, 0.121, -22.0, 
3, 143, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 144, 14.9376680525, 1, 0.22, -0.064, -26.0, 
3, 145, 13.151924115, 1, 0.25, -0.087, 26.0, 
3, 146, 13.6603130959, 1, 0.067, -0.023, -22.0, 
3, 147, 13.151924115, 1, 0.25, -0.087, 26.0, 
3, 148, 13.6603130959, 1, 0.067, -0.023, -22.0, 
3, 149, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 150, 14.3639095342, 1, 0.102, 0.121, -22.0, 
3, 151, 13.6603130959, 1, 0.067, -0.023, -22.0, 
3, 152, 14.9376680525, 1, 0.22, -0.064, -26.0, 
3, 153, 13.2152837103, 1, 0.085, -0.099, -12.0, 
3, 154, 14.9376680525, 1, 0.22, -0.064, -26.0, 
3, 155, 12.1089146681, 1, 0.099, -0.1, 30.0, 
3, 156, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 127, 13.1384417773, 1, 0.055, -0.087, 26.0, 
4, 157, 6.43054413437, 1, 0.016, 0.036, -85.0, 
4, 158, 14.361199886, 1, 0.102, -0.05, -22.0, 
4, 159, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 160, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 161, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 162, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 163, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 164, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 165, 12.2050456966, 1, 0.148, -0.099, -12.0, 
4, 166, 14.0734433319, 1, 0.045, -0.099, -12.0, 
4, 167, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 168, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 169, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 170, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 171, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 172, 7.04548551674, 1, 0.085, -0.099, -90.0, 
4, 173, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 174, 13.6603130959, 1, 0.067, -0.023, -22.0, 
4, 175, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 176, 11.8370498067, 1, 0.25, 0, 0, 
4, 177, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 178, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 179, 13.2152837103, 1, 0.085, -0.099, -12.0, 
