*****Sonar Placement GA Expirement*****
Start Time: 2017-11-20 19:35:40.554007
Rand_seed:18
End Time: 
Running Time: 
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: False
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 0.0, 9, 0.211, -0.137, -7, 0.245, 0.133, 72, 0.241, -0.116, -34, 0.04, 0.116, 42, 0.05, -0.133, -51, 0.204, 0.137, 74, 0.06, -0.136, -56, 0.074, 0.137, 84, 0.216, 0.043, 18,  , , , -3.0, 42.9916593178, 
0, 1, 1.96833062554, 1, 0.066, 0.116, 72,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 50.6097814069, 
0, 2, 1.17884862416, 3, 0.218, 0.12, 65, 0.226, 0.126, 55, 0.247, -0.122, -37,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 44.1821287177, 
0, 3, 2.90782519556, 8, 0.038, 0.13, 75, 0.116, 0.126, 83, 0.162, -0.144, -80, 0.227, 0.139, 55, 0.204, 0.133, 7, 0.086, 0.104, 44, 0.16, -0.109, -79, 0.068, -0.127, -75,  , , ,  , , , 0.143601851852, 100.0, 
0, 4, 0.0, 9, 0.248, -0.101, -2, 0.231, -0.112, -42, 0.104, -0.123, -73, 0.245, -0.127, -36, 0.046, -0.119, -51, 0.226, 0.121, 86, 0.246, 0.137, 62, 0.213, -0.141, -89, 0.218, -0.12, -56,  , , , -1.0, 42.6597440352, 
0, 5, 1.75906435796, 3, 0.218, -0.114, -63, 0.234, -0.104, -63, 0.128, 0.11, 50,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 63.066377833, 
0, 6, 4.48362941049, 3, 0.076, -0.146, -46, 0.239, 0.126, 60, 0.112, -0.14, -75,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.176277777778, 100.0, 
0, 7, 2.52932957236, 1, 0.246, 0.102, 21,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 68.206110839, 
0, 8, 4.09772179021, 4, 0.066, -0.129, -79, 0.247, -0.132, -75, 0.112, -0.146, -61, 0.2, 0.1, 13,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.139175925926, 100.0, 
0, 9, 0.761491929916, 9, 0.08, 0.121, 66, 0.004, -0.132, -61, 0.072, -0.143, -85, 0.178, 0.118, 56, 0.21, -0.136, -16, 0.207, -0.1, -64, 0.092, 0.12, 66, 0.176, -0.118, -66, 0.05, -0.108, -86,  , , , -3.0, 86.0508513798, 
0, 10, 1.93199211423, 5, 0.08, -0.133, -63, 0.203, 0.118, 23, 0.245, 0.103, 18, 0.207, -0.112, -7, 0.02, -0.126, -70,  , , ,  , , ,  , , ,  , , ,  , , , -3.0, 85.2563659968, 
0, 11, 1.1086746775, 5, 0.223, 0.125, 37, 0.202, -0.113, -84, 0.217, -0.106, -84, 0.233, 0.138, 71, 0.182, -0.13, -45,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 61.513921304, 
0, 12, 0.581962434424, 5, 0.156, 0.106, 74, 0.201, 0.109, 83, 0.24, -0.101, -62, 0.234, -0.105, -94, 0.01, -0.123, -77,  , , ,  , , ,  , , ,  , , ,  , , , -1.0, 44.2900701512, 
0, 13, 2.71856922359, 9, 0.122, -0.139, -59, 0.184, 0.11, 64, 0.036, 0.122, 40, 0.241, 0.138, 98, 0.205, 0.098, -19, 0.052, -0.107, -68, 0.213, -0.015, 18, 0.218, -0.003, -26, 0.248, -0.117, -19,  , , , 0.191037037037, 100.0, 
0, 14, 5.20755195688, 1, 0.245, -0.102, -59,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.227824074074, 100.0, 
0, 15, 0.0, 9, 0.026, 0.13, 61, 0.156, -0.124, -70, 0.152, 0.128, 40, 0.146, 0.122, 46, 0.226, 0.065, 26, 0.14, 0.117, 63, 0.238, -0.137, -6, 0.241, 0.1, 9, 0.192, 0.125, 86,  , , , -1.0, 43.6482948945, 
0, 16, 0.0, 9, 0.2, -0.111, -57, 0.182, 0.139, 87, 0.132, -0.108, -80, 0.194, -0.142, -66, 0.217, -0.005, 19, 0.106, 0.106, 53, 0.215, 0.098, 3, 0.234, -0.067, 4, 0.136, 0.134, 59,  , , , -1.0, 44.3414024066, 
0, 17, 1.12196623659, 5, 0.241, 0.12, 32, 0.066, 0.111, 87, 0.024, -0.145, -44, 0.006, -0.116, -89, 0.222, 0.01, 6,  , , ,  , , ,  , , ,  , , ,  , , , -3.0, 61.9248664225, 
0, 18, 0.0, 9, 0.108, -0.13, -65, 0.201, 0.135, 93, 0.217, -0.143, -76, 0.118, -0.12, -59, 0.249, 0.113, 28, 0.17, 0.102, 61, 0.203, -0.1, -59, 0.227, -0.135, -13, 0.226, 0.027, 29,  , , , -1.0, 42.6207502257, 
