*****Sonar Placement GA Expirement*****
Start Time: 2017-11-15 19:41:09.164838
Rand_seed:2
End Time: 
Running Time: 
Population size:40
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: False
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 8.72919959277, 6, 0.246, 0.144, -68, 0.22, 0.025, 8, 0.052, 0.11, -40, 0.249, 0.112, -21, 0.23, -0.037, 9, 0.229, 0.022, -12,  , , ,  , , ,  , , ,  , , , 0.169362583644, 0.55273165339, 0.569549324146, 0.196897021204, 0.572004024094, 0.602286578435, 
0, 1, 8.10202956809, 5, 0.217, -0.101, 33, 0.166, -0.135, 76, 0.018, -0.148, 49, 0.05, 0.148, -85, 0.204, 0.013, 3,  , , ,  , , ,  , , ,  , , ,  , , , 0.15273321733, 0.674954552744, 0.723815702677, 0.19448585767, 0.128747158546, 0.508050721489, 
0, 2, 7.4151036294, 1, 0.225, -0.136, 66,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.362022667132, 0.200364050825, 0.194891878163, 0.579516763164, 0.0970701573174, 0.649547351842, 
0, 3, 5.97274116073, 10, 0.207, 0.122, -85, 0.203, 0.144, -86, 0.203, 0.109, -83, 0.241, 0.038, -13, 0.212, 0.123, -62, 0.235, 0.075, 12, 0.206, -0.132, 22, 0.042, 0.13, -64, 0.088, -0.122, 71, 0.237, 0.136, -11, 0.17060260468, 0.216105295414, 0.238225618178, 0.701810112183, 0.023185490017, 0.195171645866, 
0, 4, 7.15426072841, 1, 0.082, 0.113, -73,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.400562042908, 0.452376152691, 0.0241993127517, 0.874275322817, 0.0982205213292, 0.547710914037, 
0, 5, 10.1395727198, 3, 0.211, -0.135, -27, 0.218, -0.027, 14, 0.239, -0.111, 99,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.187858390128, 0.58393059639, 0.777384819669, 0.0373177861405, 0.688399113531, 0.315382501072, 
0, 6, 8.31164955086, 9, 0.244, -0.142, 25, 0.235, -0.115, 80, 0.234, -0.123, 86, 0.247, -0.111, 38, 0.176, -0.106, 83, 0.235, 0.101, -95, 0.236, -0.141, 43, 0.122, -0.141, 45, 0.142, -0.104, 85,  , , , 0.465359206875, 0.431837892147, 0.197603420909, 0.763965383483, 0.608580203758, 0.925449801892, 
0, 7, 8.62431889639, 1, 0.201, 0.113, -21,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.748427287434, 0.820544376027, 0.0278798658047, 0.993443492007, 0.249916285616, 0.600566484677, 
0, 8, 7.37166478844, 8, 0.03, -0.147, 68, 0.25, 0.147, -19, 0.25, 0.013, -29, 0.038, 0.111, -59, 0.03, 0.104, -83, 0.062, 0.15, -42, 0.216, -0.137, -8, 0.221, -0.017, 9,  , , ,  , , , 0.460465374407, 0.400347946876, 0.211964449171, 0.626928295556, 0.239962860297, 0.585242507217, 
0, 9, 8.81266536799, 10, 0.242, -0.012, -2, 0.034, -0.124, 71, 0.198, -0.143, 81, 0.212, 0.105, -32, 0.231, -0.139, 8, 0.205, -0.09, -28, 0.23, 0.144, -61, 0.246, -0.113, 33, 0.246, 0.018, 14, 0.244, 0.135, -31, 0.505010529042, 0.0840367689792, 0.809325434986, 0.251678399449, 0.116932599958, 0.979719208342, 
0, 10, 9.29436877202, 8, 0.066, -0.143, 77, 0.206, -0.106, 93, 0.19, 0.126, -89, 0.213, 0.048, 27, 0.217, 0.113, -88, 0.213, 0.123, -75, 0.21, -0.107, 24, 0.228, -0.052, 7,  , , ,  , , , 0.237870859622, 0.902963371958, 0.852604048738, 0.613564446968, 0.443416800306, 0.796872437228, 
0, 11, 8.44301220406, 2, 0.236, 0.063, -14, 0.094, -0.1, 80,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.511243037289, 0.997401017513, 0.140220742087, 0.747461536733, 0.419612407657, 0.434125465938, 
0, 12, 9.26068152732, 6, 0.224, 0.053, 28, 0.217, -0.01, 13, 0.062, -0.113, 83, 0.217, -0.07, 14, 0.124, -0.117, 61, 0.224, -0.143, 51,  , , ,  , , ,  , , ,  , , , 0.374449376451, 0.840115267181, 0.547625875385, 0.807326339613, 0.591354028863, 0.545131879748, 
0, 13, 11.2302739658, 4, 0.216, -0.104, 59, 0.052, 0.14, -81, 0.229, -0.131, 27, 0.07, -0.12, 50,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 0.488789217626, 0.234275968959, 0.78342372335, 0.913260438637, 0.788971845726, 0.484853003822, 
