*****Rover GA expirement*****
Date:2017-07-31 16:22:25.731107
Population size:50
Generation Count:50
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Wall Distance, Fitness
0, 0, 141, 75, 99, 1.46271558126, 2.81921384553, 1.85598904588, 6.58737278223
0, 1, 137, 82, 61, 0.738665074083, 4.01935119988, 6.72825597795, 3.36098889
0, 2, 125, 85, 55, 1.12884989633, 4.03793918935, 6.8524430346, 1.0
0, 3, 366, 54, 97, 4.87552445579, 0.289449385709, 0.0362487896811, 1.77768889
0, 4, 200, 58, 43, 3.69286599086, 2.84655349109, 4.12420793352, 1.0
0, 5, 176, 88, 43, 4.85408347029, 0.0355300422281, 2.92303212698, 1.0
0, 6, 275, 58, 87, 4.08626854504, 2.4474321452, 2.46973633502, 1.0
0, 7, 63, 78, 87, 1.89020457267, 0.672738044307, 6.37647659939, 1.0
0, 8, 246, 84, 9, 2.62744741273, 0.0882014310359, 5.29242939235, 1.0
0, 9, 342, 9, 37, 2.49643832784, 1.33271612904, 6.92876108445, 1.0
0, 10, 85, 31, 29, 1.76776666239, 2.06235995085, 5.66218941742, 1.0
0, 11, 130, 45, 99, 4.32824863523, 2.45576974306, 9.49633073191, 6.58368787771
0, 12, 326, 97, 79, 1.07899526971, 3.26073383591, 9.79802916345, 1.0
0, 13, 313, 97, 33, 4.25136960687, 2.08950682101, 7.49979105823, 1.77768889
0, 14, 226, 41, 81, 4.24155795188, 1.11085945019, 0.633060669192, 1.0
0, 15, 302, 84, 73, 4.20316184406, 4.17807055924, 7.29169292722, 2.77755556
0, 16, 100, 2, 5, 3.33501752315, 4.87977067409, 1.47104921876, 1.0
0, 17, 264, 73, 21, 1.90401252415, 0.556553850346, 3.23342369471, 2.77755556
0, 18, 72, 21, 97, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
0, 19, 112, 3, 21, 3.24658821188, 2.35455548609, 9.26104978806, 1.77768889
0, 20, 221, 88, 97, 3.24289209255, 2.57744879768, 2.91742933193, 6.60203784028
0, 21, 355, 10, 85, 3.67852050578, 3.82489492431, 4.78939393753, 1.0
0, 22, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
0, 23, 216, 73, 87, 2.60749922786, 4.41113009088, 2.20946977353, 1.0
0, 24, 101, 53, 27, 3.97359932475, 2.15639419059, 6.51727968276, 2.77755556
0, 25, 165, 9, 77, 2.40554047627, 0.116152479764, 2.79994588166, 6.54352658691
0, 26, 351, 86, 55, 1.69574111568, 0.986209234316, 3.93053282279, 6.48571354438
0, 27, 277, 28, 83, 1.97168792061, 1.82748945971, 7.76356950299, 1.0
0, 28, 172, 4, 65, 2.5461987633, 1.45212272056, 1.7055294041, 1.0
0, 29, 268, 35, 49, 3.37422550057, 4.09420120563, 1.93088029458, 1.0
0, 30, 367, 1, 27, 4.49494853456, 4.32117045692, 4.020294506, 1.0
0, 31, 294, 42, 99, 0.934820313226, 4.79566355924, 2.42818536792, 2.25
0, 32, 270, 51, 97, 2.75440670888, 2.08863190651, 9.13429166702, 6.51139954698
0, 33, 96, 66, 27, 2.05724564986, 1.8325827424, 1.32201560916, 1.77768889
0, 34, 166, 74, 59, 2.6975335925, 1.60918922806, 6.77100973581, 1.0
0, 35, 340, 15, 83, 2.2311392088, 4.02105437722, 1.15192448701, 1.0
0, 36, 327, 5, 55, 0.232935133321, 0.366850279644, 4.97696289712, 2.77755556
0, 37, 286, 92, 93, 3.31198353205, 4.55362966048, 5.3997034849, 6.58603251313
0, 38, 108, 21, 41, 4.61634191989, 1.93588850419, 7.71405336876, 2.77755556
0, 39, 376, 49, 39, 2.94886705734, 0.175522439406, 5.60712683179, 2.77755556
0, 40, 382, 89, 79, 1.68603741344, 4.02033721264, 1.946747075, 1.0
0, 41, 293, 74, 27, 3.81846911944, 0.186704909969, 8.03243241135, 6.61947481293
0, 42, 215, 86, 29, 1.09794688071, 2.78410202888, 0.0631817787424, 1.0
0, 43, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
0, 44, 68, 15, 15, 4.17830455271, 4.92205461487, 0.964000153927, 1.0
0, 45, 105, 85, 5, 4.33389776267, 4.57735285604, 1.57666614538, 1.0
0, 46, 276, 62, 73, 4.99348254423, 0.186884686866, 1.23348485141, 6.6019034184
0, 47, 376, 57, 59, 1.42392068913, 1.03093149882, 8.51199334593, 1.0
0, 48, 116, 80, 79, 2.41188882995, 4.53526296884, 8.61154031146, 6.51427270877
0, 49, 340, 83, 85, 1.40857499149, 2.4778060264, 9.12812337447, 1.77768889
1, 41, 293, 5, 97, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
1, 50, 215, 49, 39, 2.94886705734, 0.175522439406, 5.60712683179, 3.36098889
1, 51, 176, 88, 43, 4.85408347029, 0.0355300422281, 2.92303212698, 1.0
1, 52, 340, 83, 49, 1.40857499149, 2.4778060264, 9.12812337447, 1.0
1, 53, 340, 15, 83, 2.2311392088, 4.02105437722, 1.15192448701, 1.0
1, 54, 246, 84, 9, 2.62744741273, 0.0882014310359, 5.29242939235, 1.0
1, 55, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
1, 56, 216, 73, 87, 2.60749922786, 4.41113009088, 2.20946977353, 6.60351671007
1, 57, 100, 2, 5, 3.33501752315, 4.87977067409, 1.47104921876, 1.0
1, 58, 68, 15, 37, 2.49643832784, 1.33271612904, 6.92876108445, 1.0
1, 59, 376, 49, 39, 2.94886705734, 0.175522439406, 5.60712683179, 2.77755556
1, 60, 246, 84, 9, 2.62744741273, 1.90606761833, 5.29242939235, 6.566404
1, 61, 176, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
1, 62, 326, 47, 33, 1.07899526971, 3.26073383591, 9.79802916345, 1.0
1, 63, 302, 84, 73, 4.20316184406, 4.17807055924, 7.29169292722, 1.0
1, 64, 268, 35, 49, 3.37422550057, 4.09420120563, 1.93088029458, 1.0
1, 65, 275, 9, 15, 4.17830455271, 4.92205461487, 0.964000153927, 1.0
1, 66, 226, 41, 81, 4.24155795188, 1.11085945019, 0.633060669192, 1.0
1, 67, 100, 2, 5, 3.33501752315, 4.87977067409, 1.47104921876, 1.77768889
1, 68, 382, 89, 79, 1.68603741344, 4.02033721264, 7.36710056006, 3.36098889
1, 69, 200, 58, 43, 3.69286599086, 2.84655349109, 4.12420793352, 1.0
1, 70, 366, 54, 97, 4.87552445579, 0.289449385709, 0.0362487896811, 3.36098889
1, 71, 85, 31, 29, 1.76776666239, 2.06235995085, 5.66218941742, 1.0
1, 72, 326, 97, 79, 1.07899526971, 3.26073383591, 9.79802916345, 1.0
1, 73, 68, 21, 97, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
1, 74, 68, 15, 15, 4.17830455271, 4.92205461487, 2.30420079765, 1.0
1, 75, 108, 21, 41, 4.61634191989, 1.93588850419, 7.71405336876, 1.77768889
1, 76, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
1, 77, 342, 58, 87, 4.08626854504, 2.4474321452, 2.46973633502, 1.0
1, 78, 72, 15, 61, 4.17830455271, 4.92205461487, 5.60712683179, 1.0
1, 79, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
1, 80, 53, 68, 57, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
1, 81, 294, 42, 99, 2.9685532142, 0.186704909969, 8.03243241135, 6.5742531173
1, 82, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
1, 83, 313, 88, 79, 4.25136960687, 2.08950682101, 7.49979105823, 2.77755556
1, 84, 125, 85, 55, 1.12884989633, 4.03793918935, 6.8524430346, 3.36098889
1, 85, 72, 21, 97, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
1, 86, 366, 54, 97, 4.87552445579, 0.289449385709, 0.0362487896811, 3.36098889
1, 87, 72, 21, 27, 3.81846911944, 4.79566355924, 2.42818536792, 1.0
1, 88, 340, 15, 83, 2.2311392088, 4.02105437722, 1.15192448701, 1.0
1, 89, 166, 74, 59, 2.6975335925, 1.60918922806, 6.77100973581, 6.63020821007
1, 90, 277, 28, 83, 1.97168792061, 1.82748945971, 1.53249796777, 1.0
1, 91, 277, 28, 83, 1.97168792061, 1.82748945971, 7.76356950299, 1.0
1, 92, 53, 68, 57, 0.89598520526, 1.29658667136, 7.76356950299, 1.0
1, 93, 376, 49, 39, 2.94886705734, 0.175522439406, 0.964000153927, 2.77755556
1, 94, 355, 10, 85, 3.67852050578, 3.82489492431, 0.960931640586, 1.0
1, 95, 125, 85, 55, 1.12884989633, 4.03793918935, 6.8524430346, 1.0
1, 96, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
1, 97, 68, 15, 15, 4.17830455271, 4.92205461487, 2.410483491, 1.0
1, 98, 382, 89, 79, 2.54161796767, 4.02033721264, 1.946747075, 3.36098889
2, 89, 166, 74, 59, 2.6975335925, 2.06235995085, 5.66218941742, 6.62865422266
2, 99, 200, 58, 43, 3.69286599086, 2.84655349109, 4.12420793352, 1.0
2, 100, 355, 10, 85, 3.67852050578, 3.82489492431, 0.960931640586, 1.0
2, 101, 68, 15, 37, 2.49643832784, 1.33271612904, 1.89976845298, 1.0
2, 102, 215, 49, 39, 2.94886705734, 4.59584501669, 5.60712683179, 1.0
2, 103, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
2, 104, 293, 5, 97, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
2, 105, 85, 68, 57, 0.89598520526, 1.29658667136, 7.76356950299, 1.0
2, 106, 72, 21, 97, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
2, 107, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
2, 108, 302, 84, 73, 4.20316184406, 4.17807055924, 2.410483491, 1.0
2, 109, 275, 92, 39, 2.94886705734, 0.175522439406, 5.60712683179, 3.36098889
2, 110, 176, 24, 61, 2.45905710027, 1.9587745851, 6.6366267865, 6.55180656641
2, 111, 246, 84, 9, 2.62744741273, 0.0882014310359, 1.71585752424, 1.0
2, 112, 200, 58, 43, 3.69286599086, 2.84655349109, 4.12420793352, 1.0
2, 113, 326, 9, 15, 4.17830455271, 4.92205461487, 0.964000153927, 1.0
2, 114, 195, 21, 29, 1.76776666239, 1.60918922806, 6.77100973581, 1.0
2, 115, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
2, 116, 91, 92, 61, 1.40857499149, 2.4778060264, 7.29169292722, 1.0
2, 117, 53, 31, 29, 1.76776666239, 2.06235995085, 5.66218941742, 1.0
2, 118, 176, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
2, 119, 176, 88, 43, 4.85408347029, 0.0355300422281, 2.92303212698, 1.0
2, 120, 91, 97, 79, 0.366065053677, 3.26073383591, 9.79802916345, 1.0
2, 121, 326, 97, 79, 1.07899526971, 3.26073383591, 9.79802916345, 1.0
2, 122, 85, 31, 29, 1.76776666239, 2.06235995085, 5.66218941742, 1.0
2, 123, 268, 35, 49, 3.37422550057, 4.09420120563, 1.93088029458, 1.0
2, 124, 302, 84, 15, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
2, 125, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
2, 126, 125, 85, 15, 4.17830455271, 4.92205461487, 2.410483491, 6.55540206641
2, 127, 376, 49, 39, 2.94886705734, 3.26073383591, 9.79802916345, 1.0
2, 128, 72, 21, 27, 3.81846911944, 4.79566355924, 2.42818536792, 1.0
2, 129, 294, 42, 99, 2.9685532142, 0.186704909969, 8.03243241135, 6.5681731798
2, 130, 355, 10, 85, 3.67852050578, 3.82489492431, 0.633060669192, 1.0
2, 131, 376, 49, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
2, 132, 68, 15, 73, 4.20316184406, 4.17807055924, 7.29169292722, 1.0
2, 133, 91, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
2, 134, 72, 21, 27, 3.81846911944, 3.32591093316, 2.42818536792, 1.0
2, 135, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
2, 136, 246, 84, 9, 2.62744741273, 1.90606761833, 5.29242939235, 6.57318359646
2, 137, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
2, 138, 326, 97, 79, 1.07899526971, 0.175522439406, 5.60712683179, 3.36098889
2, 139, 340, 83, 55, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
2, 140, 68, 21, 97, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
2, 141, 68, 15, 37, 2.49643832784, 1.33271612904, 6.92876108445, 1.0
2, 142, 340, 83, 49, 1.40857499149, 2.4778060264, 9.12812337447, 1.77768889
2, 143, 68, 15, 15, 4.17830455271, 4.34796713749, 2.410483491, 1.0
2, 144, 226, 41, 81, 4.24155795188, 1.11085945019, 0.960931640586, 3.36098889
2, 145, 268, 35, 49, 3.37422550057, 4.09420120563, 1.93088029458, 1.0
2, 146, 68, 15, 55, 1.12884989633, 4.03793918935, 6.8524430346, 1.0
2, 147, 85, 31, 27, 3.81846911944, 4.79566355924, 2.42818536792, 1.77768889
3, 89, 166, 74, 59, 2.6975335925, 2.06235995085, 8.98078388895, 1.0
3, 148, 85, 31, 27, 1.76776666239, 1.60918922806, 1.71585752424, 1.77768889
3, 149, 91, 88, 43, 0.887749927847, 0.0355300422281, 4.12420793352, 1.0
3, 150, 68, 15, 15, 4.17830455271, 4.34796713749, 2.410483491, 1.0
3, 151, 68, 15, 37, 0.342208158821, 1.33271612904, 1.89976845298, 1.0
3, 152, 91, 92, 61, 1.40857499149, 2.4778060264, 7.29169292722, 1.0
3, 153, 340, 83, 15, 4.17830455271, 4.34796713749, 2.410483491, 1.0
3, 154, 355, 10, 85, 3.67852050578, 0.0882014310359, 6.77100973581, 3.36098889
3, 155, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
3, 156, 355, 41, 81, 4.24155795188, 1.11764760464, 0.960931640586, 2.77755556
3, 157, 302, 84, 15, 4.17830455271, 4.92205461487, 2.42818536792, 1.0
3, 158, 91, 68, 57, 0.89598520526, 1.29658667136, 5.60712683179, 1.0
3, 159, 268, 35, 49, 3.37422550057, 4.09420120563, 1.93088029458, 1.0
3, 160, 246, 84, 9, 2.62744741273, 3.82489492431, 0.960931640586, 3.36098889
3, 161, 195, 88, 43, 4.85408347029, 0.0355300422281, 2.92303212698, 1.0
3, 162, 326, 9, 15, 4.17830455271, 4.92205461487, 0.964000153927, 1.0
3, 163, 355, 10, 85, 3.67852050578, 3.82489492431, 0.960931640586, 1.0
3, 164, 53, 68, 57, 0.89598520526, 2.24740348512, 1.53249796777, 1.0
3, 165, 68, 21, 29, 1.76776666239, 0.0355300422281, 2.92303212698, 1.0
3, 166, 72, 21, 27, 3.81846911944, 3.32591093316, 2.42818536792, 1.0
3, 167, 326, 97, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
3, 168, 376, 49, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
3, 169, 85, 31, 29, 1.76776666239, 2.06235995085, 5.66218941742, 1.0
3, 170, 176, 88, 43, 4.85408347029, 0.0355300422281, 2.92303212698, 1.0
3, 171, 293, 5, 29, 3.81846911944, 4.79566355924, 9.12812337447, 1.0
3, 172, 302, 84, 97, 4.17830455271, 4.92205461487, 9.12812337447, 6.51734583605
3, 173, 83, 49, 39, 2.94886705734, 4.59584501669, 1.53249796777, 1.0
3, 174, 302, 84, 15, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
3, 175, 68, 15, 55, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
3, 176, 326, 9, 15, 4.17830455271, 4.92205461487, 0.964000153927, 1.0
3, 177, 302, 84, 15, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
3, 178, 53, 92, 61, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
3, 179, 91, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
3, 180, 146, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 3.36098889
3, 181, 355, 10, 85, 3.67852050578, 3.82489492431, 0.960931640586, 1.0
3, 182, 226, 10, 85, 3.67852050578, 3.82489492431, 0.633060669192, 1.0
3, 183, 176, 21, 97, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
3, 184, 176, 88, 43, 4.85408347029, 1.60918922806, 6.77100973581, 1.0
3, 185, 91, 88, 79, 1.07899526971, 3.26073383591, 9.79802916345, 1.0
3, 186, 195, 8, 73, 4.20316184406, 4.17807055924, 7.29169292722, 1.0
3, 187, 91, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
3, 188, 376, 80, 39, 2.94886705734, 3.26073383591, 9.79802916345, 1.0
3, 189, 200, 58, 43, 3.69286599086, 2.84655349109, 2.92303212698, 6.58901508507
3, 190, 53, 68, 57, 0.89598520526, 1.29658667136, 1.53249796777, 1.0
3, 191, 91, 92, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
3, 192, 72, 21, 97, 4.67436361056, 2.31645574061, 3.13419054267, 1.0
3, 193, 200, 58, 43, 2.13943742805, 2.84655349109, 4.12420793352, 6.58998730566
3, 194, 200, 58, 43, 3.69286599086, 2.84655349109, 4.12420793352, 1.0
3, 195, 176, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
3, 196, 302, 84, 15, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
4, 193, 200, 58, 43, 2.13943742805, 4.92205461487, 1.53249796777, 1.0
4, 197, 176, 88, 43, 0.887749927847, 0.0355300422281, 6.68243178505, 1.0
4, 198, 334, 84, 15, 4.17830455271, 4.92205461487, 2.42818536792, 1.0
4, 199, 91, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 200, 355, 10, 85, 3.67852050578, 3.82489492431, 0.960931640586, 1.0
4, 201, 91, 88, 99, 0.887749927847, 3.26073383591, 9.79802916345, 1.0
4, 202, 53, 68, 57, 0.89598520526, 1.29658667136, 0.964000153927, 1.0
4, 203, 268, 35, 49, 4.57452247948, 4.09420120563, 1.93088029458, 1.0
4, 204, 53, 73, 43, 4.85408347029, 1.60918922806, 6.77100973581, 1.0
4, 205, 302, 84, 67, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
4, 206, 326, 97, 73, 4.20316184406, 4.17807055924, 7.29169292722, 1.0
4, 207, 293, 5, 29, 3.81846911944, 4.79566355924, 9.12812337447, 1.0
4, 208, 226, 10, 85, 2.94886705734, 0.585661760249, 1.53249796777, 1.0
4, 209, 68, 15, 57, 0.89598520526, 2.24740348512, 1.53249796777, 1.0
4, 210, 195, 8, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 211, 53, 68, 39, 2.94886705734, 0.0355300422281, 0.960931640586, 1.0
4, 212, 355, 10, 85, 3.67852050578, 3.82489492431, 0.960931640586, 1.0
4, 213, 176, 94, 43, 4.85408347029, 1.60918922806, 6.77100973581, 1.0
4, 214, 326, 97, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 215, 226, 10, 85, 3.67852050578, 3.82489492431, 6.9360035542, 1.0
4, 216, 302, 84, 15, 4.17830455271, 4.92205461487, 9.12812337447, 6.55290492285
4, 217, 72, 21, 27, 3.81846911944, 3.32591093316, 2.42818536792, 1.0
4, 218, 176, 88, 43, 0.887749927847, 0.0355300422281, 7.96549467056, 1.0
4, 219, 53, 68, 57, 0.89598520526, 1.9587745851, 6.6366267865, 1.0
4, 220, 53, 92, 61, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
4, 221, 91, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 222, 376, 49, 61, 2.45905710027, 1.9587745851, 6.6366267865, 1.0
4, 223, 376, 80, 39, 2.94886705734, 3.26073383591, 9.79802916345, 1.0
4, 224, 376, 80, 39, 2.94886705734, 3.26073383591, 9.79802916345, 1.77768889
4, 225, 91, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 226, 176, 68, 57, 0.89598520526, 2.24740348512, 1.53249796777, 6.58542950532
4, 227, 326, 97, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 228, 302, 84, 15, 4.17830455271, 4.92205461487, 2.42818536792, 1.0
4, 229, 53, 92, 61, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
4, 230, 91, 88, 79, 1.07899526971, 3.26073383591, 9.79802916345, 1.0
4, 231, 302, 84, 15, 4.17830455271, 4.92205461487, 2.42818536792, 1.0
4, 232, 83, 49, 39, 3.67852050578, 3.82489492431, 0.633060669192, 1.0
4, 233, 53, 68, 57, 0.89598520526, 2.24740348512, 1.53249796777, 1.0
4, 234, 166, 74, 59, 2.6975335925, 2.06235995085, 8.98078388895, 6.62983656261
4, 235, 91, 88, 43, 0.887749927847, 1.29658667136, 1.53249796777, 1.77768889
4, 236, 376, 80, 39, 2.94886705734, 3.26073383591, 3.73609946136, 1.0
4, 237, 176, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 238, 68, 15, 37, 0.342208158821, 1.33271612904, 1.89976845298, 1.0
4, 239, 83, 49, 39, 2.94886705734, 4.59584501669, 1.53249796777, 1.0
4, 240, 53, 68, 57, 0.89598520526, 2.34973331673, 1.53249796777, 1.0
4, 241, 53, 68, 55, 2.45905710027, 0.0355300422281, 2.92303212698, 1.0
4, 242, 376, 80, 57, 0.89598520526, 2.24740348512, 1.53249796777, 1.0
4, 243, 326, 97, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
4, 244, 326, 9, 15, 4.17830455271, 2.84655349109, 4.12420793352, 1.0
4, 245, 355, 10, 85, 3.67852050578, 3.82489492431, 2.92303212698, 1.0
5, 234, 166, 74, 59, 2.6975335925, 2.06235995085, 9.79802916345, 6.62987034766
5, 246, 268, 35, 49, 4.57452247948, 4.09420120563, 1.93088029458, 1.0
5, 247, 53, 68, 57, 0.89598520526, 2.24740348512, 1.53249796777, 1.0
5, 248, 176, 94, 43, 3.81846911944, 4.79566355924, 9.12812337447, 1.0
5, 249, 243, 68, 57, 0.89598520526, 2.24740348512, 1.53249796777, 3.36098889
5, 250, 53, 68, 77, 0.89598520526, 1.29658667136, 0.964000153927, 1.0
5, 251, 376, 80, 39, 2.94886705734, 3.26073383591, 9.79802916345, 1.0
5, 252, 200, 58, 43, 2.13943742805, 4.92205461487, 1.53249796777, 1.0
5, 253, 176, 88, 43, 0.89598520526, 1.9587745851, 6.6366267865, 1.0
5, 254, 200, 58, 43, 2.13943742805, 4.92205461487, 1.53249796777, 1.0
5, 255, 53, 68, 57, 0.89598520526, 0.0355300422281, 1.53249796777, 1.0
5, 256, 326, 97, 73, 4.20316184406, 4.17807055924, 7.29169292722, 1.0
5, 257, 176, 88, 43, 0.887749927847, 0.0355300422281, 2.92303212698, 1.0
5, 258, 302, 68, 57, 0.887749927847, 0.0355300422281, 6.68243178505, 1.0
5, 259, 53, 92, 61, 4.17830455271, 4.92205461487, 9.12812337447, 1.0
5, 260, 236, 97, 73, 4.20316184406, 4.17807055924, 7.29169292722, 6.58315211035
5, 261, 53, 68, 57, 0.89598520526, 1.9587745851, 6.6366267865, 1.0
5, 262, 200, 58, 43, 2.13943742805, 4.92205461487, 1.53249796777, 6.58589850532
5, 263, 53, 84, 67, 0.89598520526, 2.24740348512, 1.53249796777, 1.0
5, 264, 91, 88, 99, 0.887749927847, 3.26073383591, 9.79802916345, 1.0
5, 265, 91, 88, 99, 0.887749927847, 3.26073383591, 9.79802916345, 1.0
